tweet_no	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label	tweet_text
765	yes	no	yes	no	no	no	yes	#Russia announces the end of trials for the #Coronavirus, Covid 19 vaccine, and is preparing to vaccinate the population https://t.co/pw67ZVOabF
766	no					no	no	Thank you to our rational government, represented by the Ministry of Health and through its distinguished minister, for reassuring the Omani people of their readiness to provide a vaccine for the Corona virus “Covid 19” when it is approved, and here we pledge to God and His Majesty the Sultan to redeem our dear homeland #Oman with our lives. #Oman_Face_Corona #Oman_Renewed_Renaissance https://t.co/pHmi23J8t8
767	yes	no	yes	no	no	no	yes	The American President: We are working to obtain an appropriate vaccine against the Corona virus quickly and safely, and we will reach that before the end of this year, and we will start producing it in large and abundant quantities for distribution on a large scale after obtaining the necessary medical approvals for this. https://t.co/RkD3ySVTVy
768	yes	no	yes	no	yes	no	yes	This indicates that with infection, we will not reach herd immunity, and we need a vaccine to prevent infection and transmission of infection. This was also spoken by Professor Akiko, a scientist in immunology https://t.co/Hs5aifHxgh
769	yes	yes	yes	no	yes	no	yes	It goes back to everyone, and is Eid in news about Corona? The World Health Organization announces the discovery of two types of vaccine against Corona, one of the Russian company and the other of a British and American company, and the vaccine is $ 70, you hoped it will reach Lebanon, but you do not receive 51%
770	yes	no	yes	no	no	no	yes	#urgent | #Putin announces the registration of the first vaccine against #Coronavirus in the world, and he expects #Russia to start mass production of it soon. https://t.co/OtvaD96IPG
771	yes	no	yes	no	no	no	yes	Starting to vaccinate 15,000 volunteers of different nationalities with the Chinese #Covid19 vaccine in the UAE
772	yes	yes	yes	yes	yes	yes	yes	After 3 vaccines reached promising stages, Spanish scientists are developing a mist sprayed in the mouth that prevents the transmission of #corona to the lung #Arabic https://t.co/V4cUe1lkZ5
773	yes	no	yes	no	no	no	no	Russia announces the launch of an &quot;effective vaccine&quot; against Corona within the next two weeks, and launches a campaign to vaccinate its citizens in October
774	yes	no	yes	yes	yes	yes	yes	New York newspaper: #Russia adopts a vaccine for #Corona before completing experiments on it, despite the warning of international medical references of the risks..Putin&#39;s vaccine against the Corona virus raises controversy around the world #Arabic https://t.co/lU7q6DZoX9
775	yes	no	yes	no	no	no	yes	Russia announces the registration of the world&#39;s first vaccine against the Corona virus next week (special coverage) Details: https://t.co/Ct4tBx1Sz5 https://t.co/Aukgc32XDQ
776	no					yes	yes	Our people, Kuwaitis and non-Kuwaitis, do not hesitate to collect your votes in rejecting what the global hoax organization imposes on us.. the fear is to save the largest number of people 🇰🇼 //t.co/bs8ga45fbR
777	no					yes	yes	If the opportunity presents itself: Would you like to participate among the volunteers to test the vaccine against the #coronavirus in Saudi Arabia?
778	yes	no	yes	no	no	no	yes	Russia announces its confidence in partnership with the Kingdom of Saudi Arabia in working on a vaccine against the Corona virus https://t.co/4QX16Yg2wv
779	no					yes	yes	Most will not get the vaccine 😉😄 https://t.co/4qXB97BeIj
780	yes	no	yes	no	yes	no	yes	Urgent The Russian Federation begins to vaccinate its citizens with the Russian vaccine against the Corona virus https://t.co/izQUm3sjjO
781	yes	yes	yes	no	no	no	yes	We are looking forward again. &quot;We already have vaccines against the virus and we already know that they are safe enough to be tested in 30,000 people,&quot; says Dr. Eric. &quot;Thousands are dying. So after thinking recently, I agree with my colleague&#39;s statement; people deserve to get the early vaccine if they choose to while continuing phase trials.&quot; Third&quot; https://t.co/xtUAWbBf40
782	yes	no	yes	no	no	no	yes	path | Russia: Recording the first vaccine for the Corona virus next week Al Masar Newspaper https://t.co/hzMYQ5fwyF
783	yes	yes	yes	yes	yes	yes	yes	The Deputy Chief Medical Officer in England warned Britons - who received the flu vaccine - that they are in the &quot;high risk&quot; category of #corona, and they must self-isolate for 12 weeks! https://t.co/78lGdj3er1
784	yes	no	yes	no	no	no	yes	Interfax, quoting the Russian Minister of Health: - We have completed clinical trials of the vaccine and are working on the preparation of registration papers. We are preparing to start a massive vaccination campaign against the virus in October. Doctors and teachers will be the first to be vaccinated. #Coronavirus #Russia https://t.co/UT9LZ5gG1X
785	yes	yes	yes	yes	yes	yes	yes	Dr. Fauci warns that the effectiveness of the Covid 19 vaccine may not exceed 50% or 60%.. This means that we will be forced to take a vaccine with uncertain efficacy and uncertain consequences as well..! What is this nonsense..?! . https://t.co/cLLrTSGdsL
786	yes	no	yes	no	no	no	no	Trump contracts with “Moderna” to buy 100 million doses of the Corona vaccine https://t.co/ckm7xuZ6OJ https://t.co/wU2Cmex7d9
787	yes	no	no	no	no	no	yes	During her meeting with the Chinese Ambassador, the Minister of Health: Signing a cooperation agreement between Egypt and China in the field of manufacturing #Coronavirus vaccines next month. The Minister of Health: Cooperation with the Chinese side includes exchanging experiences with the Scientific Committee for Corona Virus Treatment Protocols https://t.co/Ewmn3NpbZz
788	no					no	yes	I hope the state will contract from now to provide sufficient quantities of influenza vaccine, if it is available from the producing companies, and plan extensive vaccination campaigns that include people who have risk factors (the elderly and people with chronic diseases) in order to reduce the burden of seasonal influenza on hospitals with the continuation of COVID-19 https: //t.co/kv7GnZ5hgR
789	yes	no	yes	no	no	no	yes	Share the hope and be enthusiastic...there is hope for the Chinese vaccine against COVID-19. It has reached the third stage (and other vaccines) and it is the last, as it is being tested on volunteers around the world, including 15,000 volunteers in the United Arab Emirates. Thank you to scientists and researchers all over the world, and thank you to the brave volunteers 🙏🏻👍 🏻 God bless you, there is hope ✌🏻 https://t.co/MD10NXZzgE
790	no					no	no	The only vaccine currently available against the #coronavirus is that you &quot;vaccinate at home&quot; 🙋🏻 ♂️ #stay_home
791	yes	no	yes	no	no	no	yes	The first two volunteers for the #coronavirus vaccine trials get the second dose. #Burg_UAE https://t.co/IFIk4smuDK
792	no					no	no	Dr. Youssef Shams El-Din reveals his approximate expectation of the time of discovering a vaccine from the Corona virus #alseif #corona @YAYshamsaldeen https://t.co/0bvqK3dn57
793	yes	no	yes	no	no	no	no	#Video: #Putin&#39;s daughter receives the vaccine announced by the President of #Russia today as the first vaccine for #Coronavirus in the world https://t.co/Ib0NzRzAap https://t.co/np1UDpMAv6
794	yes	yes	yes	yes	yes	yes	yes	#Africa_identity #Africa_Buried_History #Corona #Louis Farrakhan The #GoldenBillion Theory: This warning is for refusing to accept the #vaccine, especially in #Africa. This theory says that the Earth&#39;s population is 7 billion and the Earth&#39;s natural resources cannot meet the needs of these billions!!! https://t.co/U4MZzaGLOG
795	yes	no	yes	no	no	no	yes	Two German and American companies announce that they have reached the last stage of experiments on possible vaccines for the Corona virus.. Is the end of the crisis approaching? https://t.co/aNjCxS93r0
796	yes	yes	yes	yes	yes	yes	yes	Bill Gates says we come up with genetically modified organs and inject them directly into the veins of children.. this is the one who invested millions in the Corona vaccine. It is mentioned that the Corona virus will never go away until we vaccinate most of the people of the earth..the new world order with its vision of 20/30 will rid of six billion people before the end of the year 30..the vaccine and the 5G will achieve their goal. https://t.co/u8Xa4ojd4i
797	yes	no	yes	no	no	no	yes	#Urgent.. - Putin announces the approval of the Russian Ministry of Health for the Russian Corona vaccine - The Russian President announces that his daughter has taken the Russian Corona vaccine - Putin: Russia will soon start mass-producing the Corona vaccine # We are leading the scene #COVID19 https://t.co /t51iGXtrWe
798	no					no	yes	Excellent article from the Washington Post for those interested in following the progress in developing corona vaccines. The article explains, in a simple and beautiful way, the types of vaccines under development and the different techniques they rely on to activate the body&#39;s immune response. https://t.co/BYRe89HQAc
799	yes	no	yes	no	yes	no	yes	Although none of the coronavirus vaccines in development has yet been proven effective in clinical trials, at least 5.7 billion doses have been proactively ordered worldwide.. In this narrative we will look at some of these efforts (1) https: //t.co/Go5rFusCrr
800	yes	yes	yes	yes	yes	yes	yes	The President of Russia announces the discovery of the first vaccine against Corona and says that his daughter was injected.
801	no					no	yes	Global Health: We are discussing with the Russian side the effectiveness and mechanism for adopting the discovered Russian vaccine against the Corona virus https://t.co/cIfb3fxIMu
802	yes	yes	yes	yes	yes	yes	yes	Gates “predicts” that there will be 700,000 victims of the anti-corona vaccine, and this is according to his predictions only.. The important question here: who has the right to determine the fate of people by exposing them to harm that may reach permanent disability, sterility or even death, as happened due to other vaccines ?! . https://t.co/Tm5Q0EUwE1
803	yes	yes	yes	yes	yes	yes	yes	Terrible thing if the words are true. Experiments revealed that the GSK vaccination resulted in sterility of 61 women out of 63. It also affects men. Imagine the future of humanity with this vaccination that people can still be infected with the virus and at the same time not be able to reproduce! #vaccine #GSKvaccine #corona #covid_19 https://t.co/S36nTLbhov
804	yes	no	yes	no	no	no	yes	path | Russia produces the first batch of vaccine against the Corona virus
805	yes	no	yes	no	no	no	yes	Officially.. Putin announces Russia&#39;s registration of the world&#39;s first vaccine against the Corona virus, and the start will be to vaccinate medical personnel and the elderly
806	yes	no	yes	no	no	no	yes	Russian President Putin announces the registration of the first vaccine against the Corona virus in the world. (News) https://t.co/VittMz9NsV
807	yes	no	yes	no	no	no	yes	In conjunction with the successful march of clinical trials of the #Covid_19 vaccine.. Sheikh #Abdullah_Bin_Zayed publishes a video explaining the stages of developing the #Corona vaccine in #AbuDhabi, and you can still participate in the third phase of trials via https://t.co/4XYI0Ekj5z #for_humanity #volunteer_for_humanity @ABZayed @ DoHSocial https://t.co/l451cqd6h3
808	no					no	yes	Vladimir Putin: Russia has developed the &quot;first&quot; vaccine for Corona https://t.co/OM3Rr442bm #Arabic
809	yes	yes	yes	yes	yes	yes	yes	The US Food and Drug Safety Authority (FDA) has stated that it is ready to accelerate the production of the Corona vaccine by not completing the third phase of the vaccine study. A statement that may shake people&#39;s confidence in the vaccine and preventive health in general, regardless of the political and material returns. Human health is a priority and a red line that cannot be crossed for any reason! https://t.co/WvBW53XpVl
810	yes	yes	yes	yes	no	yes	yes	Dr. Carrie Madge issued her warning about the Corona virus vaccine https://t.co/YytNbnmZVA
811	yes	no	yes	no	no	no	yes	From the good news this morning: One of the vaccines against Corona Virus (Covid 19) will soon enter the third clinical trial phase in Saudi Arabia. Where 5,000 male and female volunteers will be vaccinated in three regions. The vaccine is the vaccine of the Chinese company Cansino, which showed good results in phases 1 and 2 on humans in China. https://t.co/ZNxiawlTJm
812	yes	no	yes	no	yes	no	yes	The Chinese Medicines Administration has issued guidelines for the clinical evaluation of novel coronavirus vaccines. The candidate vaccine must be appropriate for all ages, including pregnant and breastfeeding women; At least for adults, including the elderly. Preferably the vaccine provides immunity for a year or more, and at least 6 months.
813	yes	no	yes	no	no	no	yes	Russia has officially announced the start of production of the anti-Coronavirus vaccine, which will be launched at the end of this month... It is worth mentioning that the Minister of Health Sheikh Dr. Basil Al-Sabah has not yet taken a decision to request the vaccine, although more than 20 countries want this vaccine! @Drbaselalsabah @KUWAIT_MOH @RusEmbKuw @Russia_AR https://t.co/31JJxZOr2I
814	yes	no	yes	no	no	no	yes	Regarding the Russian #Coronavirus vaccine: •Putin announced that it had been registered as an approved vaccine before the end of phase 3 of the trials, a phase that 4 vaccines in the world are currently undergoing, including the American one. Phase 3 trials are important because they include broader segments of society (thousands of volunteers) to ensure that the vaccine is safe for everyone. https://t.co/k1eezBzys1
815	no					no	yes	The first Russian vaccine against the #coronavirus, may God benefit from it https://t.co/62XnFTpFeA
816	no					no	yes	Video | How is the process of selecting volunteers to test the vaccine against the #coronavirus in the #Kingdom? #news https://t.co/Ty3QNht1BZ
817	no					no	no	Corona virus vaccine in progress 🖐 ✔ To benefit from free vaccination follow me and do 🔔.. 😂 #Corona #COVID19 #Covid_19 https://t.co/9GNqGuU7FQ
818	no					no	yes	The daughter of Russian President Putin receives the vaccine announced today, as the first vaccine in the world against the Corona virus 💉.. #Russia https://t.co/uIFf2ccVIz
819	yes	no	yes	no	no	no	yes	#Health: No vaccine for #Coronavirus has yet been available https://t.co/5onNLBJcXo
820	no					no	yes	Video | #Russia records the first vaccine against #coronavirus within days #news https://t.co/aEWZsOWFHI
821	yes	no	yes	yes	no	no	yes	Russia on Tuesday became the first country to approve a coronavirus vaccine, a move that has been met with international skepticism and unease because the doses have only been studied in dozens of people. And Putin, the Russian President, said that the vaccine had undergone the necessary tests and had proven to provide permanent immunity against the Corona virus. #radio_now https://t.co/0PgzODsi3d
822	yes	no	yes	no	no	no	yes	🔴 AFP: Industrial production of the Russian vaccine against #Corona #Covid19 will start next September, with 20 countries pre-ordering one billion doses of the new vaccine. #news_center
823	no					no	yes	How are volunteers selected to test the vaccine against the Corona virus in the Kingdom? 🦠 https://t.co/PgtBiZ0x6Q
824	no					yes	yes	The appearance of the daughter of the Russian President taking a dose of the Corona vaccine is a beautiful thing, but ‼️ Can we be sure or assert that she took the vaccination that has only been tested on a few people? Or is it a play, through which the Russian treasury could be supported with billions of dollars? #Covid_19 #Saudi Arabia
825	no					no	no	Today, I was honored to be among the constellation of the sons of Zayed, the volunteers in the third phase of clinical trials to find the #Coronavirus vaccine. All thanks and appreciation to the Department of Health and a health company for facilitating all obstacles and their tremendous efforts in the service of the homeland and humanity @jalkaabi @SEHAHealth @DoHSocial @MohamedBinZayed https:/ /t.co/OB8drmBTYC
826	yes	no	yes	no	no	no	yes	📌 Russian President #Putin reveals that his daughter received the first vaccine against #Corona after confirming its effectiveness and officially registered in Russia.. https://t.co/EioNHvcJQ9
827	no					no	yes	▶️ The Minister of Health: Coordination is continuing with the Global Alliance for Vaccines and Immunization to obtain the Corona vaccine immediately after its manufacture and production https://t.co/CKs7MbCYBm @OmaniMOH #News_Center https://t.co/1uKefWgYKy
828	yes	yes	yes	no	yes	no	yes	Russian President Vladimir Putin announced that his country has developed the &quot;first&quot; vaccine that provides &quot;sustainable immunity&quot; against the emerging corona virus.
829	yes	no	yes	no	no	no	yes	China records the second vaccine against Corona after Russia 👇👇 https://t.co/KMhh8FlQc9 https://t.co/xicEfWZq6e
830	yes	no	yes	no	no	no	yes	Video .. The daughter of the Russian President receives the vaccine that was announced by #Putin today as the first vaccine for #Corona in the world https://t.co/1F8kTJKgcH
831	yes	yes	yes	no	yes	no	yes	🛑 Urgent: The first person to inject himself in the Russian vaccine is the daughter of President Putin, and Russia officially announces the first vaccine against the Corona virus in the world, injecting the president&#39;s daughter, a message to the world that the vaccine is successful 💯💯👌✌️. https://t.co/u13EspcX0i
832	yes	yes	yes	no	no	no	yes	Russia has succeeded in turning the tables on Western countries, as Russian President Vladimir Putin announced the registration of the world&#39;s first anti-Coronavirus vaccine, stressing that the vaccine has proven effective in creating stable immunity against the virus,,
833	no					no	yes	Oh God, praise be to you, today, thanks to God, I volunteered to conduct the first examination to take the #Corona vaccine, and my name was included among the batch of volunteers. • To volunteer via: https://t.co/9N0SvjkqXW or call 029181111 #ForHumanity #VolunteerForHumanity https://t.co/bcOTbPul95
834	yes	no	yes	no	no	no	yes	In the race to find a vaccine against the new #coronavirus 🏃🏻 ♂️ Russia leads 🇷🇺 amidst the world&#39;s fears 🌏 Do you have the courage to try a vaccine? #Video_Previous https://t.co/laHaz3UK7z
835	no					no	yes	Learn about the method adopted to manufacture the first vaccine against the Corona virus. How does the vaccine work in the body? #corona #russia #coronavirus #science https://t.co/4IQLc2XsUZ
836	yes	no	yes	no	yes	no	yes	Urgent - Officially.. #Sputnik is the first approved vaccine for #Corona in the world • Russia: The vaccine has shown high effectiveness and safety.. and gives people immunity for two years • We received requests for one billion doses • #Putin: The vaccine has not yet completed clinical trials..but Active https://t.co/O9J27N5LxG
837	yes	no	yes	no	no	no	yes	🇨🇳 After Russia announced it.. China announces the registration of a safe and effective vaccine against #Covid_19 without negative side effects 💉 What is this vaccine and who is the company producing it? #COVID19 #Passion_Knowledge https://t.co/vM8SX75kNL
838	no					no	yes	Joe Biden is ahead of Trump, according to the polls, by a large margin of up to 13% sometimes, and he has snatched the 3 most important Republican states historically from him. The US administration will do the impossible to provide the vaccine to the American people before October. ▪️Imagine if the epidemic appeared in the past 3 years, I mean the #coronavirus, not the Trump presidency.
839	yes	no	yes	yes	no	no	yes	Western and American media launch a campaign against the Russian vaccine to confront Corona #Al-Mayadeen_Go #Corona #Covid19 https://t.co/ivEY4T8BFO
840	yes	yes	yes	yes	yes	yes	yes	The World Health Organization said, “There may be an immediate, direct, magic, solution to the disease,” which is the meaning of the word silver bullet, which means someone who tells you now, “there will be a vaccination and take it. Current ⚠️ They are not a drug body. https://t.co/kL0SiRMOxN https://t.co/r13vCgKPou
841	yes	no	yes	no	no	yes	yes	News in two minutes: 🦠 The first case to be infected twice with #Corona in the world 🇷🇺 Navalny was poisoned with a substance that affects the nerves 💉 World Health announces the plan for the distribution of corona vaccines 🎤 @benaichoubasara https://t.co/GYjIUqTs99
842	no					no	yes	Russia says international concerns about the new vaccine are &quot;unfounded&quot; #Corona https://t.co/9UMqVC8u2U https://t.co/YCiP0j3ty6
843	yes	yes	yes	yes	no	yes	yes	Chief respiratory physician Professor Alexander Chuchalin resigns from the Ethics Council of the Russian Ministry of Health after launching a vicious attack on the new drug “Sputnik V” due to the gross violations of medical ethics and the serious damage this vaccine inflicts on the health of citizens, https://t.co/ eTRAtYScHS
844	yes	no	yes	no	no	no	yes	With Saudi hands and expertise, the King Fahd Center for Medical Research begins experiments to produce a vaccine for the emerging #Coronavirus (Covid 19). #Leadership_spirit https://t.co/13HgOK9r4F
845	yes	no	yes	no	yes	no	yes	The Minister of Health: Conducting more than 70,000 tests for Corona daily The death rate of the virus in the Kingdom is among the lowest in the world We are keen to take all preventive measures It is difficult to predict when the vaccine will be available globally
846	no					no	yes	Come back from the Russian vaccine, don&#39;t use you and wait for your vaccine from the attacked embassy 😁 #Corona
847	no					yes	yes	Putin announces that Russia has developed the first vaccine for Corona and that his daughter received this new vaccine Ok.. I, as a journalist, do not trust governments, I challenge President Putin to take the vaccine publicly and then go out to walk in hospitals with people infected with the virus without a mask and greet them and without that he is a liar a liar #Russia # Corona #COVID19
848	no					no	no	The Russian President after his country registered the first vaccine against the Corona virus in the world I: How much is the price of the vaccine? https://t.co/rtV7HJy1Lz
849	yes	no	yes	no	no	no	yes	The World Health Organization: It is expected that a vaccine for the Corona virus will be reached by the end of the current world 2020, provided that the vaccine will be available to everyone in 2021 https://t.co/hs50cbaiR0 #Arabic
850	yes	no	yes	no	yes	no	yes	The annual production of this new #Coronavirus vaccine reaches 300 million pieces! https://t.co/ZKD1WmtOIX
851	no					yes	yes	And someone called me a doctor from his secrets and said, “The Corona virus is starting to weaken.” It is not an invitation to pessimism, but caution is necessary, especially as we approach, God willing, to find an effective vaccine in the coming months. co/Z7m8eIHLBx
852	no					yes	yes	Since the emergence of the epidemic of #Corona and humanity has been waiting for relief, a day will come and Trump is begging for the vaccine injection that he mocks despite his nose https://t.co/kbtguerX53 https://t.co/eS4OH74WnW
853	no					no	yes	Former Jordanian Minister of Awqaf Abdel Nasser Abu Al-Basal: Saudi Arabia’s decision to reduce the number of pilgrims is correct because the lack of a vaccine for Corona endangers their lives #Arabic https://t.co/eU88JEMQ5J
854	yes	no	yes	no	no	no	yes	The Russian President announces the registration of the world&#39;s first vaccine for the Corona virus • Putin: Russia will soon start producing the vaccine... on a large scale • My daughter took the Russian vaccine https://t.co/CvICOAmoHO
855	yes	yes	yes	yes	yes	yes	yes	🔻 Lie of #Corona Watch, dusk, that they are deceiving you, here we find the governor of Queensland state in Australia, and she is taking a vaccine in a false way in front of the camera to encourage citizens to take the demonic vaccine. https://t.co/yZlklmgHmg
856	no					no	no	Oh God, bring down your healing to those who have been touched by harm, and force those who are exhausted by pain, and help those who are burdened by them, my Lord, heal and heal our sick and Muslim patients
857	no					no	yes	#Minister_Health: ♦️The Kingdom has given human health a top priority during the pandemic ♦️The vaccine is expected to be available at the end of the year ♦️We will assess the situation after 7 weeks on education ♦️Distance education will contribute to controlling Corona ♦️The recovery rate from #Corona has exceeded 90% ♦️We will not adopt any Corona vaccine only after making sure of its safety
858	no					no	yes	The Jordanian doctor #Omar_Muhanna and doctors from Morocco, Egypt and Algeria have after God the credit for discovering the #Corona vaccine soon,,, All our greetings to you,,, greatness and God is greatness
859	yes	no	yes	no	no	no	yes	The #Coronavirus will not disappear from the world now..it will remain in one way or another. The global research centers and major pharmaceutical companies did not spend billions to manufacture the vaccine to put it in the drawers and lose here the race schedule to reach the vaccine. Three Chinese, two American and English companies are noted in the lead..it reached the third stage.. https http://t.co/jZX54JHCBd
860	yes	no	yes	no	no	no	yes	📌 The World Health Organization announces: There is a possibility to reach a safe and effective vaccine against the Corona virus, and the 32 candidate vaccines are currently under clinical trials. https://t.co/psT1Dm6hpM
861	yes	no	yes	no	yes	no	yes	- The third phase of trials for the vaccine will begin in #Riyadh, #Dammam and #Mecca - The first and second phases of the trial, which took place in #China, showed high efficacy of the vaccine and a good immune response https://t.co/ejfN8Sj5fV
862	yes	yes	yes	yes	yes	yes	yes	I do not think that we will force everyone to take the Corona vaccine, and I do not think that health workers can work...This is what they say indicates that Corona is past and over. He confirms that Corona was created for the sake of the vaccine..People are recovering and the disease is completely over from the countries of the world. For a vaccine. The play is over https://t.co/8ybWOSNKyb
863	no					no	no	My comment and my point of view on the new vaccine against the virus #Corona and I ask God that God protect us all https://t.co/g1kGzG9i6S
864	yes	yes	yes	yes	yes	yes	yes	This is a fact we have to deal with: the rich nations will get the vaccine first!! Therefore, economists have included pharmaceutical security among the components of economic security.. Are we aware of the many lessons of Corona? https://t.co/JYw6yxxQKd
865	yes	no	yes	no	no	no	yes	🔴 #Minister of Health Dr. Tawfiq Al-Rabiah: Distance education will be extended in the event that a vaccine for the Corona virus is not available https://t.co/8N0WM1yNCj
866	yes	yes	yes	yes	yes	yes	yes	British scientist: Corona virus will stay with us forever, and frequent vaccines may be the solution https://t.co/tiZy3UZYdg https://t.co/lV8Y4e0ioA
867	yes	no	yes	no	yes	no	yes	Russia announces that it will test the Corona vaccine on 40,000 people. https://t.co/2rK7unyiMS
868	yes	no	yes	no	yes	no	yes	Good news 🛑 Four European countries, including Germany, announced the signing of future contracts for the purchase of 300 million doses of the (Oxford) vaccine against the Corona virus, which is expected to be produced and approved at the beginning of 2021 The countries are: Germany France Italy Netherlands https:// t.co/oCrLtSyLsd
869	no					no	yes	A consultant and a specialist briefed “#Urgent” on the conditions for the effectiveness of the Russian Corona vaccine https://t.co/v6XAZ69FDv https://t.co/Ytkygppkbm
870	no					no	yes	The daughter of Russian President Vladimir Putin receives a vaccine against the emerging corona virus. https://t.co/Zv6c0wHNuU
871	yes	no	yes	no	yes	no	yes	3 days separate the #world from the first approved vaccine for #coronavirus #corona https://t.co/Myn1d05pU0
872	yes	no	yes	no	no	no	yes	Urgent | The Russian Ministry of Health: 20 countries have submitted a request to purchase one billion doses of the Corona vaccine. #Russian_vaccine #coronavirus https://t.co/ZGayLmmbVB
873	no					no	yes	My intervention today on the news video | An infectious disease consultant explains to Al-Ekhbariya the effectiveness of the Russian vaccine against the Corona virus https://t.co/YseajEQlhn
874	no					no	yes	Can this Chinese vaccine bring us back to our normal lives before the Corona virus? The company behind it thinks it&#39;s possible.. A CNN reporter highlights.. Watch https://t.co/EWcDZliqzT @David_Culver
875	yes	no	yes	yes	yes	yes	yes	A Japanese wrote: I have never smoked, I do not have a chronic disease, I have a tuberculosis vaccination, in my early twenties, my blood is O+, through this information I am not in danger from #Corona, but when I was injured my temperature was 40.5, difficulty breathing, blood coming out with Cough, and these symptoms persisted with me for a period of four months. Anyone at risk of corona https://t.co/UCQcBjOdXq
876	yes	no	yes	no	yes	no	yes	Virologist Yahya Abdel-Momen Makki: #Russia depends on the protein envelope of #Corona in the production of the vaccine, which is an effective method..and experiments are in the last stages #Arabic https://t.co/vnuMWWs258
877	yes	no	yes	no	yes	no	yes	The news of his weight is gold 👏👏👏 The Russian President announces the registration of the world&#39;s first anti-Corona vaccine, and that his daughter is among those who have been injected with the new vaccine.. https://t.co/ly9SiJROyc
878	no					no	yes	Global Health: We are working on an effective vaccine against Corona, and our team will go to Wuhan in China to research the origin of the Corona virus https://t.co/NWBAa2nSGa
879	yes	no	yes	no	yes	no	yes	Russia is planning a large-scale vaccination campaign against the Corona virus in October, after the Russian vaccine passed clinical trials. https://t.co/PBEXWcefsM
880	yes	no	yes	no	no	no	yes	#world || #China plans to test vaccines against #Corona in cooperation with Russia https://t.co/2MIjr04nf8
881	no					no	no	Thanks to God and then the care of our father, King #Salman_Ben_Abdulaziz, the sons of #Saudi Arabia are participating in the manufacture of the #Corona vaccine in the laboratories of #Europe and #America. .co/NJYrzGQoar https://t.co/z3ho391xeh https://t.co/EPeNt8qvUf
882	yes	no	yes	no	yes	no	yes	The Chinese Ambassador to the Kingdom: The Corona virus vaccine announced by China has been tested on more than 20,000 people, which indicates that its safety is very good. https://t.co/SNyRg99hgo
883	yes	yes	yes	yes	yes	yes	yes	Very important information ‼️ There is no Russian vaccine for #Corona that has passed the three stages and there are signs of conflict between the countries competing to manufacture the vaccine, and between Russia, China and India, because of these abuses, which may lose confidence in successful vaccines later #Saudi Arabia News link in English https:// t.co/v9PSTJYK4N https://t.co/6OpxJmPLM0
884	yes	no	yes	no	yes	no	yes	Urgent 🔴 Britain officially announces: the production of an anti-Coronavirus vaccine will begin next month, in agreement with the &quot;Wockhardt&quot; company. (Arabic) #Coronavirus #Corona
885	yes	yes	yes	yes	yes	yes	yes	@alqabas It is wrong to think that the corona virus is fatal because the survival rate from it is 99.9%.. so why the vaccine!
886	no					yes	yes	The longest race in the world is the race towards a #Corona vaccine. Everything that advances the world by one step dwarfs the Health Organization by two steps.
887	yes	no	yes	no	no	no	yes	“Health” spokesman: Work is constantly being done by the competent authorities to ensure and follow up on all developments regarding vaccines, and work to provide any vaccine that proves its approval and combines two things: that it be effective and safe. #Corona
888	yes	yes	yes	no	yes	yes	yes	Trump pledges to provide a vaccine for the Corona virus before the end of this year 2020. https://t.co/1vdYKliH3o
889	yes	no	yes	yes	no	yes	yes	Forbes magazine published an article on the factors that may hinder the production of the Covid-19 vaccine.. Among these factors: 50% of the American people refuse to be vaccinated.. and the short period of immunity acquired from vaccination may reach less than a year.. and its effectiveness reaches only 50%.. https://t.co/ywyKMudgU0
890	yes	no	yes	no	no	no	yes	A new Emirati achievement in the trials of the Corona vaccine. 15,000 volunteers from 107 nationalities participate in the first clinical trials globally, which are taking place in the Emirates for the third phase of the inactive “Covid-19” vaccine, in less than a month https://t.co/5P6xq6EwkQ
891	yes	no	yes	no	yes	no	yes	Prime Minister of India Modi: We are preparing to produce vaccines for #Covid_19 in huge quantities..not one or two vaccines, but 3 vaccines for #Corona are being tested in #India https://t.co/3R8dkHvbQO
892	yes	yes	yes	yes	yes	yes	yes	Where does the Ministry of Health get this information?!!!! We do not need a vaccine and Covid-19 is a normal disease like any disease and we can treat it without poisoned vaccines!!! These vaccines are a danger to the nation. We reject the compulsory vaccine. Corona expires now https://t.co/1JxkKtKNEq
893	yes	no	yes	no	no	no	yes	Basel Al-Sabah for #Al-Jarida: 1.6 million coronavirus vaccines for Kuwait • A very good quantity... By importing the second batch we cover 50% of the population • The Ministry of Health is reviewing the terms of the agreement with &quot;Javi&quot; and contacted 5 companies to supply vaccination https://t. co/IcHZDCTqpv https://t.co/cex6O4g58t
894	yes	yes	yes	yes	yes	yes	yes	#Trump accuses the &quot;deep state&quot; of delaying the Corona vaccine #Sky_News https://t.co/Tlj8zpZVBD
895	no					no	yes	Russia has always been ready to put its scientific and medical expertise in the hands of the international community.. Accordingly, we hope that the issue of the #Corona vaccine will not be politicized just because it is Russian, and that this achievement will open the door to achieving greater global progress on the path to combating and treating the virus.
896	yes	no	yes	no	yes	no	yes	#urgent | German Chancellor Angela Merkel: • I expect the Corona virus crisis to be more difficult in the coming autumn and winter • Things will not return to normal until we find a vaccine for the Corona virus
897	no					no	no	The #Coronavirus vaccine is waiting, but we need a #helpvaccine now before the elections #Lebanon_is afflicted
